date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:05	9929/9929	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-26c9%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.25.10	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-icon-list.min18be.css	(from https://b-f-p.co.uk/)
14:05:06	6781/6781	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb9-1a7d%22	https://b-f-p.co.uk/wp-content/plugins/elementor-pro/assets/css/widget-form.min.css?ver=3.25.4	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor-pro/assets/css/widget-form.min401f.css	(from https://b-f-p.co.uk/)
14:05:06	2459/2459	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-99b%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-image-gallery.min.css?ver=3.25.10	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-image-gallery.min18be.css	(from https://b-f-p.co.uk/)
14:05:06	20021/20021	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-4e35%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.32.0	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min444a.css	(from https://b-f-p.co.uk/)
14:05:06	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-4057%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://b-f-p.co.uk/)
14:05:07	10260/10260	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-2814%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.10	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min18be.css	(from https://b-f-p.co.uk/)
14:05:07	1349/1349	---MCZ	200	added ('OK')	text/css	etag:W/%2267583446-545%22	https://b-f-p.co.uk/wp-content/uploads/elementor/css/post-808.css?ver=1733833798	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/uploads/elementor/css/post-808602a.css	(from https://b-f-p.co.uk/)
14:05:07	974/974	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb9-3ce%22	https://b-f-p.co.uk/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min.css?ver=3.25.4	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min401f.css	(from https://b-f-p.co.uk/)
14:05:07	26129/26129	---MCZ	200	added ('OK')	text/css	etag:W/%2267583446-6611%22	https://b-f-p.co.uk/wp-content/uploads/elementor/css/post-51.css?ver=1733833798	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/uploads/elementor/css/post-51602a.css	(from https://b-f-p.co.uk/)
14:05:07	8441/8441	---MCZ	200	added ('OK')	text/css	etag:W/%2267583446-20f9%22	https://b-f-p.co.uk/wp-content/uploads/elementor/css/post-818.css?ver=1733833798	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/uploads/elementor/css/post-818602a.css	(from https://b-f-p.co.uk/)
14:05:08	58062/58062	---MCZ	200	added ('OK')	text/css	etag:W/%2267583446-e2ce%22	https://b-f-p.co.uk/wp-content/uploads/elementor/css/post-1154.css?ver=1733833798	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/uploads/elementor/css/post-1154602a.css	(from https://b-f-p.co.uk/)
14:05:08	58071/58071	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-e2d7%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://b-f-p.co.uk/)
14:05:08	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-29d%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://b-f-p.co.uk/)
14:05:08	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22671a587e-15601%22	https://b-f-p.co.uk/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-includes/js/jquery/jquery.minf43b.js	(from https://b-f-p.co.uk/)
14:05:09	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%22671a587e-3509%22	https://b-f-p.co.uk/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://b-f-p.co.uk/)
14:05:09	267358/267358	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Dec%202024%2014:05:09%20GMT	https://b-f-p.co.uk/wp-json/	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-json/index.html	(from https://b-f-p.co.uk/)
14:05:09	27524/27524	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Dec%202024%2014:05:09%20GMT	https://b-f-p.co.uk/wp-json/wp/v2/pages/51	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-json/wp/v2/pages/51.json	(from https://b-f-p.co.uk/)
14:05:11	2152/2152	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Dec%202024%2014:05:11%20GMT	https://b-f-p.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fb-f-p.co.uk%2F	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-json/oembed/1.0/embed059e.json	(from https://b-f-p.co.uk/)
